closing_date,year,period_type,dividend_value
2025-07-17,2024,full year,0.9
2024-07-18,2023,full year,0.85
2023-07-20,2022,full year,0.8
2022-07-20,2021,full year,0.8
2021-07-20,2020,full year,0.7
2020-07-20,2019,full year,0.65
2019-07-18,2018,full year,0.65
2018-07-19,2017,full year,0.65
2017-07-19,2016,full year,0.6
2016-07-18,2015,full year,0.6
2015-07-16,2014,full year,0.65
2014-07-16,2013,full year,0.6
2013-05-14,2012,full year,0.5
2012-05-14,2011,full year,0.6
2011-05-13,2010,full year,0.5
2010-05-14,2009,full year,0.45
2009-05-15,2008,full year,0.6
2008-03-14,2007,full year,0.6
2007-03-17,2006,full year,0.53
2006-03-20,2005,full year,0.8
2005-03-25,2004,full year,0.4
2004-02-02,2003,full year,0.14
2003-01-31,2002,full year,0.032
2002-02-12,2001,full year,0.033
2001-03-16,2000,full year,0.041
