closing_date,year,period_type,dividend_value
2025-07-17,2024,full year,8.5
2024-07-18,2023,full year,12.29
2023-07-20,2022,full year,0.8
2022-07-20,2021,full year,4.73
2021-07-20,2020,full year,6.72
2020-07-20,2019,full year,0.97
2019-07-18,2018,full year,7.62
2018-07-19,2017,full year,1.38
2017-07-19,2016,full year,0.6
2016-07-18,2015,full year,6.92
2015-07-16,2014,full year,8.21
2014-07-16,2013,full year,2.36
2013-05-14,2012,full year,1.48
2012-05-14,2011,full year,2.15
2011-05-13,2010,full year,1.18
2010-05-14,2009,full year,1.0488
2009-05-15,2008,full year,1.326
2008-03-14,2007,full year,0.82
2007-03-17,2006,full year,0.71
2006-03-20,2005,full year,1.05
2005-03-25,2004,full year,0.607
2004-02-02,2003,full year,0.16
2003-01-31,2002,full year,0.096
2002-02-12,2001,full year,0.1
2001-03-16,2000,full year,0.18
