closing_date,year,period_type,dividend_value
2025-07-06,2024,full year,0.4703035
2024-07-06,2023,full year,0.3121725
,2022,full year,0.1695389
2022-07-04,2021,full year,0.0846086
2021-07-05,2020,full year,0.0627653
2020-08-24,2019,full year,0.028747
2019-07-02,2018,full year,0.024845
2018-06-29,2017,full year,0.024348679
2017-07-03,2016,full year,0.02289275721
,2015,full year,0.0
2015-07-06,2014,full year,0.04968135
2014-07-07,2013,full year,0.0012003
,2012,full year,0.0
2012-05-16,2011,full year,0.024085
