closing_date,year,period_type,dividend_value
2025-01-08,2024,9 months,17.39
2024-07-09,2023,full year,25.17
2024-01-09,2023,9 months,35.17
2023-07-11,2022,full year,27.71
2023-01-10,2022,9 months,6.86
2022-07-08,2021,full year,16.14
2022-01-10,2021,9 months,9.98
2021-07-09,2020,full year,12.3
2020-06-30,2019,full year,0.0
2019-07-05,2018,full year,32.38
2019-01-09,2018,9 months,22.26
2018-07-06,2017,full year,12.16
2017-07-07,2016,full year,22.81
2016-07-08,2015,full year,10.96
2015-07-15,2014,full year,10.58
2014-07-16,2013,full year,8.23
2013-05-13,2012,full year,8.6
2012-05-14,2011,full year,7.08
2011-05-06,2010,full year,5.02
2010-05-07,2009,full year,6.56
2009-05-12,2008,full year,4.42
2008-05-12,2007,full year,5.65
2007-05-14,2006,full year,4.6
2006-05-15,2005,full year,1.0
2005-05-12,2004,full year,0.9
2004-05-10,2003,full year,0.3
2003-05-11,2002,full year,0.1
2002-05-09,2001,full year,0.1
2001-04-20,2000,full year,0.1
2000-04-21,1999,full year,0.1
1999-04-30,1998,full year,0.04
1998-05-22,1997,full year,0.06
