closing_date,year,period_type,dividend_value
2025-07-08,2024,full year,0.000828802
2021-07-05,2020,full year,0.001070552
2020-07-07,2019,full year,0.001036523
2019-06-26,2018,full year,0.000644605
2018-06-25,2017,full year,0.000489802
2017-07-07,2016,full year,0.000345336
2016-07-07,2015,full year,0.000243004
2015-07-10,2014,full year,0.000225403
2014-07-04,2013,full year,0.000166988
2013-04-30,2012,full year,0.000121805
2012-05-02,2011,full year,4.8741e-05
2011-05-12,2010,full year,4.6791e-05
2010-05-12,2009,full year,4.36687e-05
,2008,full year,0.0
2018-05-07,2007,full year,2.839307e-05
2018-05-07,2006,full year,0.000103369
