closing_date,year,period_type,dividend_value
2023-06-30,2022,full year,0.0352
,2020,full year,0.0
2020-06-17,2019,full year,0.0091
2020-01-14,2019,9 months,0.0
2019-07-03,2018,full year,0.010955421
2018-06-18,2017,full year,0.006034953
2017-06-20,2016,full year,0.0157
2016-07-15,2015,full year,0.0962
2015-07-11,2014,full year,0.0086
2014-07-07,2013,full year,0.0113
,2012,full year,0.0
2012-05-24,2011,full year,0.002685
2011-05-25,2010,full year,0.0022553
2010-05-12,2009,full year,0.00176
,2008,full year,0.0
2008-04-16,2007,full year,0.003538
2007-04-23,2006,full year,0.001417
2006-05-06,2005,full year,0.0055732
