closing_date,year,period_type,dividend_value
2024-06-04,2023,full year,9.51
2023-09-05,2023,full year,13.45
2023-01-31,2022,9 months,6.78
2022-09-09,2022,full year,9.68
2022-05-27,2021,full year,0.82
2021-09-17,2021,full year,17.71
2021-04-26,2020,full year,9.67
2020-12-07,2020,full year,3.0
2018-07-02,2017,full year,2.28
2017-06-20,2016,full year,1.96
2016-10-10,2016,full year,1.94
2015-10-23,2015,full year,2.42
2015-01-12,2014,full year,0.3969989689157
2014-07-07,2013,full year,0.78
2013-10-04,2013,full year,1.04
2013-05-20,2012,full year,0.84
2012-05-21,2011,full year,2.7
2011-10-03,2011,full year,0.93
2011-05-19,2010,full year,0.85
2008-10-03,2008,9 months,1.75
2008-05-15,2007,full year,1.03
2007-11-08,2007,full year,3.63
2007-05-21,2006,full year,4.3
2006-05-15,2005,full year,0.54222
2005-05-05,2005,full year,0.084
