closing_date,year,period_type,dividend_value
2024-07-19,2023,full year,177.2
2023-07-20,2022,full year,665.2
2022-07-20,2021,full year,497.36
2021-07-19,2020,full year,224.28
2020-10-20,2019,full year,612.2
2019-07-20,2018,full year,394.73
2018-07-10,2017,full year,578.27
2017-07-20,2016,full year,296.48
2016-07-20,2015,full year,77.08
2015-07-20,2014,full year,318.67
2014-07-20,2013,full year,221.38
2013-05-30,2012,full year,685.1
2012-05-24,2011,full year,301.31
2011-05-24,2010,full year,132.34
2010-05-28,2009,full year,105.29
2009-05-28,2008,full year,0.0
2008-05-26,2007,full year,135.22
