closing_date,year,period_type,dividend_value
2025-07-17,2024,full year,198.25
2024-07-19,2023,full year,177.2
2023-07-20,2022,full year,16665.2
2022-07-20,2021,full year,10497.36
2021-07-19,2020,full year,9224.28
2020-10-20,2019,full year,11612.2
2019-07-20,2019,full year,9311.22
2019-07-20,2018,full year,1394.73
2018-07-10,2017,full year,7578.27
2017-09-19,2017,full year,3875.49
2017-07-20,2016,full year,4296.48
2016-07-20,2015,full year,823.31
2015-07-20,2014,full year,757.87
2014-07-20,2013,full year,724.21
2013-05-30,2012,full year,685.1
2012-05-24,2011,full year,716.58
2011-05-24,2010,full year,314.73
2010-05-28,2009,full year,250.39
2009-05-28,2008,full year,236.78
2008-05-26,2007,full year,258.45
