closing_date,year,period_type,dividend_value
2025-05-12,2024,full year,0.03775
2024-05-27,2023,full year,0.04887
2023-04-18,2022,full year,0.05085
2022-05-18,2021,full year,0.04285
2021-06-01,2020,full year,0.0393
2020-05-13,2019,full year,0.02021
2019-05-14,2018,full year,0.01932
2018-05-15,2017,full year,0.019222
2017-05-16,2016,full year,0.0091
2016-05-10,2015,full year,0.01136
2015-05-12,2014,full year,0.005
2014-05-19,2013,full year,0.0107
2013-03-11,2012,full year,0.0106
2012-03-12,2011,full year,0.01016
2011-03-14,2010,full year,0.00944
2010-03-11,2009,full year,0.005554
2009-03-11,2008,full year,0.01011
2008-05-07,2007,full year,0.01257
2007-05-07,2006,full year,0.01007
2006-05-23,2005,full year,0.00394
