closing_date,year,period_type,dividend_value
2021-12-17,2021,9 months,0.190329044536
2021-06-22,2020,full year,0.126886029691
2020-12-20,2020,9 months,0.111025275979
2020-06-22,2019,full year,0.111025275979
2019-12-15,2019,9 months,0.111025275979
2019-06-25,2018,full year,0.111025275979
2018-12-18,2018,9 months,0.1110252759795
2018-07-03,2017,full year,0.1110252759795
2017-12-18,2017,9 months,0.1110252759795
2017-07-04,2017,full year,0.0173489836955
2017-07-04,2016,full year,0.093676292284
2016-12-19,2016,9 months,0.0727
2016-12-19,2016,full year,0.0431
2016-07-04,2015,full year,0.197253780372175
2015-07-07,2014,full year,0.2776423960677
2014-07-07,2014,full year,0.0793037685567795
2014-07-07,2013,full year,0.300188653732372
2013-05-17,2012,full year,0.289541278733806
