closing_date,year,period_type,dividend_value
,2022,full year,0.0
,2021,full year,0.0
,2020,full year,0.0
,2019,full year,0.0
,2018,full year,0.0
,2017,full year,0.0
,2016,full year,0.0
,2015,full year,0.0
,2014,full year,0.0
,2013,full year,0.0
2013-05-13,2012,full year,0.2
2012-05-11,2011,full year,0.14
2011-05-12,2010,full year,0.12
2010-05-12,2009,full year,0.11
2009-05-11,2008,full year,0.04
2008-05-10,2007,full year,0.228
2007-05-11,2006,full year,0.138
2006-04-29,2005,full year,0.067
2005-04-29,2004,full year,0.056
2004-05-07,2003,full year,0.043
2003-04-30,2002,full year,0.03
2002-04-12,2001,full year,0.06
2001-03-30,2000,full year,0.05
