closing_date,year,period_type,dividend_value
2025-06-28,2024,full year,6.94558516
2024-10-01,2024,full year,7.88056778
2023-05-22,2022,full year,4.6749131
2022-07-14,2022,full year,3.8735
2022-07-14,2022,full year,6.878801
2022-07-14,2021,full year,3.940284
,2020,full year,0.0
2020-08-18,2019,full year,1.73642658
,2018,full year,0.0
2018-06-20,2017,full year,1.3656828
2017-11-14,2016,full year,1.28677
2016-07-04,2015,full year,2.67137
,2014,full year,0.0
2014-05-26,2013,full year,0.28974
2013-04-12,2013,full year,0.65448
2013-04-12,2012,full year,0.51825
