closing_date,year,period_type,dividend_value
2024-06-03,2023,full year,564.0
2023-06-05,2022,full year,563.77
2022-07-11,2021,full year,563.76
,2020,full year,0.0
2019-10-11,2019,full year,884.6
2019-06-03,2018,full year,873.42
2018-10-12,2018,full year,756.0
2018-06-06,2017,full year,890.45
2017-10-19,2017,full year,762.68
2017-06-05,2016,full year,1300.0
2016-10-03,2016,full year,816.0
2016-05-27,2015,full year,458.22
2015-10-09,2015,full year,788.0
2015-05-28,2014,full year,831.07
2014-06-17,2013,full year,533.91
2013-05-24,2012,full year,279.83
2012-05-24,2011,full year,26.52
2011-05-06,2010,full year,5.1
2010-05-21,2009,full year,1.5
2009-05-25,2008,full year,23.13
2008-05-15,2007,full year,53.92
2007-05-21,2006,full year,50.83
2006-05-12,2005,full year,37.88
