closing_date,year,period_type,dividend_value
2025-07-11,2024,full year,25.58
2021-07-15,2020,full year,0.00140013081
2020-10-05,2019,full year,0.00077345337561138
2019-06-24,2018,full year,0.00109867761463259
2018-06-04,2017,full year,0.00345349138975912
2017-05-10,2016,full year,0.00117
2016-07-04,2015,full year,0.00117
2015-07-06,2014,full year,0.00117
2014-07-01,2013,full year,0.00116
2013-05-13,2012,full year,0.00143
2012-04-26,2011,full year,0.00088
2011-04-21,2010,full year,0.00058
2010-04-16,2009,full year,0.00058
2009-05-13,2008,full year,0.000447
2008-05-07,2007,full year,0.00134
2007-05-07,2006,full year,0.00066
