closing_date,year,period_type,dividend_value
2025-04-21,2024,full year,0.883534136546185
2024-05-03,2023,full year,0.68682891566
2023-05-10,2022,full year,0.562248995983936
2022-05-04,2021,full year,0.562248995983936
2021-04-28,2020,full year,0.562248995983936
2020-05-06,2019,full year,0.562248995983936
2019-05-05,2018,full year,0.562248995983936
2018-05-03,2017,full year,0.481927710843373
2017-07-05,2016,full year,0.32658
2016-04-21,2015,full year,0.32658
2015-05-06,2014,full year,0.32658
2014-05-06,2013,full year,0.32658
2013-03-11,2012,full year,0.2705448
2012-03-11,2011,full year,0.298795
2011-02-18,2010,full year,0.115984
2010-03-09,2009,full year,0.106024
2009-03-10,2008,full year,0.105429
2008-02-19,2007,full year,0.094888
2007-04-10,2006,full year,0.059023
